smiles,activity
C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br,0
C[C@@H](Oc1ccc2ncc(/C=C/C(N)=O)cc2c1)c1c(Cl)ccc(F)c1Cl,0
C[C@@H](Oc1ccc2ncccc2c1)c1c(Cl)ccc(F)c1Cl,0
C[C@@H](Oc1ccc2ncc(C3CC3C(N)=O)cc2c1)c1c(Cl)ccc(F)c1Cl,0
CC(=O)N1CCC(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)CC1,0
Cn1nc(C(N)=O)c2c1-c1nc(NC3CCN(C(=O)c4ccccc4)CC3)ncc1CC2,0
CNC(=O)c1nn(C)c2c1CCc1cnc(NC3CCN(C(=O)C4CCN(S(C)(=O)=O)CC4)CC3)nc1-2,0
O=C(Nc1n[nH]c2cc(C(=O)N[C@H](CN3CCCC3)c3ccccc3)sc12)c1ccc(N2CCOCC2)cc1,0
NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,0
CCc1nc2c(Nc3ccc(C(=O)N4CCNCC4)c(Cl)c3)nc(C)cn2c1-c1cn[nH]c1,0
Cc1cn2c(-c3cn[nH]c3)c(C3CC3)nc2c(Nc2ccc(C(=O)N3CCNCC3)c(Cl)c2)n1,0
Cc1cn2c(-c3cn[nH]c3)c(C(C)C)nc2c(Nc2ccc(C(=O)N3CCNCC3)c(Cl)c2)n1,0
CC1(C)CNCCN1C(=O)c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)cc1Cl,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNC(=O)C3)c(Cl)c2)n1,1
CC1(C)CN(C(=O)c2ccc(Nc3nc(C4CC4)cn4c(-c5cn[nH]c5)cnc34)cc2Cl)CCN1,1
O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)c(F)c1)N1CCNCC1,1
CC1(C)CNCCN1C(=O)c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)c(F)c1,1
O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)cc1Cl)N1C[C@H]2CC[C@@H]1CN2,1
O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)cc1Cl)N1CCNCC1,1
CC1(C)CN(C(=O)c2ccc(Nc3nc(C4CC4)cn4c(-c5cn[nH]c5)cnc34)c(F)c2)CCN1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)c(C(F)(F)F)c2)n1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3C[C@H]4CC[C@@H]3CN4)c(Cl)c2)n1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)c(Cl)c2)n1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCN(C)CC3)c(Cl)c2)n1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCOCC3)c(Cl)c2)n1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3(C)C)cc2F)n1,1
CCc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)c(Cl)c2)n1,1
CCOc1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)sc1C(=O)N1CCCC(C)C1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCC(O)CC3)cs2)n1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3(C)C)c(Cl)c2)n1,1
O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)cc1Cl)N1CCNCC12CC2,1
O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)cc1Cl)N1C[C@H]2CC[C@@H](C1)N2,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)cc2F)n1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNC(C)(C)C3)cc2F)n1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccnc(N3CCNCC3)c2)n1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3C[C@H]4CC[C@@H](C3)N4)c(Cl)c2)n1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C(=O)N(C)C)ns2)n1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,1
O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)cc1Cl)N1CCNC2(CC2)C1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)cc2)n1,1
CC(=O)N1CCN(C(=O)c2ccc(Nc3nc(C)cn4c(-c5cn[nH]c5)cnc34)cc2Cl)CC1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC34CC4)c(Cl)c2)n1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNC(C)(C)C3)c(Cl)c2)n1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNC4(CC4)C3)c(Cl)c2)n1,1
COc1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)ccc1C(=O)N1CCNCC1,1
O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)c(F)c1)N1CCOCC1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)c(F)c2)n1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCCNCC3)c(Cl)c2)n1,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)c(C3CC3)c2)n1,1
